노선번호,노선순번,정류장명,LAT,LNG
978,56,도립여성중고 롯데마트,35.85361352,127.1197937
978,58,도립여성중고 롯데마트,35.85361352,127.1197937
978,8,송천 센트럴파크,35.85332881,127.1193766
978,55,도립국악원,35.84934543,127.1196889
978,57,도립국악원,35.84934543,127.1196889
978,9,도립국악원,35.84907486,127.1189103
978,10,기린대로덕진공원,35.84624591,127.1196944
978,54,기린대로덕진공원,35.84574561,127.1213678
978,56,기린대로덕진공원,35.84574561,127.1213678
978,11,전북대학교.한나여성병원앞,35.8428057,127.1247332
978,53,전북대학교.소나무한의원앞,35.84140298,127.1270607
978,55,전북대학교.소나무한의원앞,35.84140298,127.1270607
978,52,전북일보사,35.8384609,127.1311667
978,54,전북일보사,35.8384609,127.1311667
978,12,국민은행금암지점,35.8379584,127.1314117
978,51,금암1동주민센터,35.83678745,127.133639
978,53,금암1동주민센터,35.83678745,127.133639
978,13,금암광장.청담한방병원,35.83369489,127.1364274
978,50,금암광장,35.8330062,127.1373989
978,52,금암광장,35.8330062,127.1373989
978,49,청소년상담센터.원광신협,35.83141844,127.1387167
978,51,청소년상담센터.원광신협,35.83141844,127.1387167
978,14,한국은행.청소년상담센터,35.83032546,127.1391497
978,48,중앙시장세이브존,35.82440898,127.1447894
978,50,중앙시장세이브존,35.82440898,127.1447894
978,15,중앙시장중앙성당방송대,35.82397975,127.1446291
978,61,동부대로 농수산시장,35.8699127,127.1184873
978,63,동부대로 농수산시장,35.8699127,127.1184873
978,62,메가월드,35.8699511,127.1124312
978,64,메가월드,35.8699511,127.1124312
978,63,송천동종점,35.8697397,127.109252
978,65,송천동종점,35.8697397,127.109252
978,1,송천동종점,35.8699041,127.1093354
978,60,송천역네거리,35.8674704,127.1216536
978,62,송천역네거리,35.8674704,127.1216536
978,4,송천역네거리,35.86878898,127.1212927
978,33,문정초교,35.77512521,127.1280279
978,29,문정초교,35.7751079,127.1281277
978,31,문정초교,35.7751079,127.1281277
978,16,북문,35.82067316,127.1459659
978,47,CTS전북방송,35.8199967,127.1464071
978,49,CTS전북방송,35.8199967,127.1464071
978,17,팔달로 예술회관,35.81708281,127.1473015
978,46,팔달로 예술회관,35.81706612,127.1474898
978,48,팔달로 예술회관,35.81706612,127.1474898
978,45,전동성당.한옥마을,35.81462071,127.1483569
978,47,전동성당.한옥마을,35.81462071,127.1483569
978,18,전동성당.한옥마을,35.81459568,127.1481687
978,19,남부시장,35.81273721,127.1488857
978,44,남부시장,35.81132263,127.149731
978,46,남부시장,35.81132263,127.149731
978,21,공수내다리,35.80600343,127.1495221
978,42,공수내다리,35.80524638,127.1495302
978,44,공수내다리,35.80524638,127.1495302
978,41,서서학예그린아파트,35.80387901,127.1486265
978,43,서서학예그린아파트,35.80387901,127.1486265
978,22,서서학예그린아파트,35.80326509,127.1479831
978,23,서서학우정목련아파트,35.80135462,127.1462202
978,40,서서학우정목련아파트,35.80104093,127.1463865
978,42,서서학우정목련아파트,35.80104093,127.1463865
978,24,장승백이,35.79971923,127.1435284
978,39,장승백이,35.79936984,127.143604
978,41,장승백이,35.79936984,127.143604
978,25,평화주공1.2단지,35.79883454,127.1410879
978,38,평화주공1.2단지,35.798558,127.1414213
978,40,평화주공1.2단지,35.798558,127.1414213
978,37,완산여고,35.79770557,127.1390222
978,39,완산여고,35.79770557,127.1390222
978,26,완산여고,35.79746601,127.1373797
978,27,꽃밭정이네거리,35.79650315,127.1346175
978,36,꽃밭정이네거리,35.79654849,127.1355809
978,38,꽃밭정이네거리,35.79654849,127.1355809
978,28,평화코오롱아파트,35.7944849,127.1321802
978,35,평화코오롱아파트,35.79356814,127.132253
978,37,평화코오롱아파트,35.79356814,127.132253
978,34,주공4단지.꽃밭정이아파트,35.79175305,127.1317749
978,36,주공4단지.꽃밭정이아파트,35.79175305,127.1317749
978,29,주공4단지.꽃밭정이아파트,35.79083606,127.1312782
978,30,평화삼성강남아파트,35.78842983,127.130503
978,33,평화삼성강남아파트,35.78844676,127.1307378
978,35,평화삼성강남아파트,35.78844676,127.1307378
978,32,평화동도미소드림아파트,35.78581599,127.1296382
978,34,평화동도미소드림아파트,35.78581599,127.1296382
978,31,평화그린1차아파트,35.78420517,127.1299876
978,33,평화그린1차아파트,35.78420517,127.1299876
978,31,평화골드클래스.그린1차아파트,35.78420796,127.1298915
978,32,전주교도소,35.7798398,127.1294535
978,30,전주교도소,35.77981483,127.129658
978,32,전주교도소,35.77981483,127.129658
978,35,소리실,35.77152701,127.1274292
978,27,소리실,35.77152806,127.127573
978,29,소리실,35.77152806,127.127573
978,28,평화신기마을,35.77317756,127.1276944
978,30,평화신기마을,35.77317756,127.1276944
978,34,평화신기마을,35.77279559,127.1273858
978,36,금성마을,35.76466046,127.1256278
978,26,금성마을,35.76465935,127.1258251
978,28,금성마을,35.76465935,127.1258251
978,25,원석구마을,35.76294285,127.1257924
978,27,원석구마을,35.76294285,127.1257924
978,37,원석구마을,35.76294167,127.125575
978,20,서학동예술마을,35.8080187,127.1495396
978,43,서학동예술마을,35.8078031,127.1498173
978,45,서학동예술마을,35.8078031,127.1498173
978,51,동성마을,35.6968855,127.1213679
978,11,동성마을,35.6969174,127.1214894
978,13,동성마을,35.6969174,127.1214894
978,44,모악호수마을,35.7277121,127.1198941
978,18,모악호수마을,35.7280011,127.1200254
978,20,모악호수마을,35.7280011,127.1200254
978,21,왕벚꽃마을,35.7373625,127.1208159
978,23,왕벚꽃마을,35.7373625,127.1208159
978,41,왕벚꽃마을,35.7373169,127.1206723
978,2,메가월드,35.8698105,127.112454
977,5,매산교,35.6816419,127.1029292
977,6,매산교,35.6816419,127.1029292
977,25,동적골,35.75301525,127.1250815
977,26,동적골,35.75301525,127.1250815
977,37,동적골,35.75288396,127.1247919
977,39,동적골,35.75288396,127.1247919
977,24,두방마을,35.74632438,127.1208747
977,25,두방마을,35.74632438,127.1208747
977,38,두방마을,35.74621646,127.1206728
977,40,두방마을,35.74621646,127.1206728
977,23,두현마을,35.74310579,127.1217133
977,24,두현마을,35.74310579,127.1217133
977,39,두현마을,35.74296698,127.1215297
977,41,두현마을,35.74296698,127.1215297
977,41,구이중,35.73424408,127.120204
977,43,구이중,35.73424408,127.120204
977,21,구이중,35.7342099,127.1204496
977,22,구이중,35.7342099,127.1204496
977,20,구이면사무소,35.73183549,127.120063
977,21,구이면사무소,35.73183549,127.120063
977,42,구이면사무소,35.73152551,127.1198208
977,44,구이면사무소,35.73152551,127.1198208
977,44,구이중앙교회,35.72446397,127.1199714
977,46,구이중앙교회,35.72446397,127.1199714
977,18,구이중앙교회,35.72401766,127.1202636
977,19,구이중앙교회,35.72401766,127.1202636
977,17,구이초교,35.722048,127.1204304
977,18,구이초교,35.722048,127.1204304
977,45,구이초교,35.72118644,127.1203073
977,47,구이초교,35.72118644,127.1203073
977,46,수성사입구,35.71555088,127.1184003
977,48,수성사입구,35.71555088,127.1184003
977,16,수성사입구,35.71552433,127.1186028
977,17,수성사입구,35.71552433,127.1186028
977,61,탑선마을,35.70990504,127.0858442
977,64,탑선마을,35.70990504,127.0858442
977,1,탑선마을,35.70968495,127.0858218
977,1,탑선마을,35.70968495,127.0858218
977,15,망산마을입구,35.70895595,127.1200532
977,16,망산마을입구,35.70895595,127.1200532
977,47,망산마을입구,35.70889263,127.1198873
977,49,망산마을입구,35.70889263,127.1198873
977,48,마음마을,35.70649648,127.1200522
977,50,마음마을,35.70649648,127.1200522
977,14,마음마을,35.70631315,127.1202325
977,15,마음마을,35.70631315,127.1202325
977,60,미치마을,35.70150085,127.0910411
977,63,미치마을,35.70150085,127.0910411
977,2,미치마을,35.70130439,127.090736
977,2,미치마을,35.70130439,127.090736
977,13,성덕교,35.6997744,127.1205418
977,14,성덕교,35.6997744,127.1205418
977,49,성덕교,35.6997695,127.1203982
977,51,성덕교,35.6997695,127.1203982
977,3,장파마을,35.6916194,127.0979082
977,3,장파마을,35.6916194,127.0979082
977,59,장파마을,35.69146124,127.0983036
977,62,장파마을,35.69146124,127.0983036
977,4,원안덕마을,35.68338769,127.0797609
977,61,원안덕마을,35.68356853,127.0798361
977,51,교동마을,35.68509328,127.1152458
977,53,교동마을,35.68509328,127.1152458
977,11,교동마을,35.68500367,127.115395
977,12,교동마을,35.68500367,127.115395
977,58,매산마을,35.68232083,127.1021928
977,60,매산마을,35.68232083,127.1021928
977,4,매산마을,35.68239766,127.1016175
977,5,매산마을,35.68239766,127.1016175
977,10,구이신기마을,35.67555652,127.112781
977,11,구이신기마을,35.67555652,127.112781
977,52,구이신기마을,35.67531501,127.1124192
977,54,구이신기마을,35.67531501,127.1124192
977,6,재실마을,35.67263261,127.1045827
977,7,재실마을,35.67263261,127.1045827
977,56,재실마을,35.67258903,127.104782
977,58,재실마을,35.67258903,127.104782
977,9,염암마을,35.66868209,127.113555
977,10,염암마을,35.66868209,127.113555
977,53,염암마을,35.6686512,127.1133675
977,55,염암마을,35.6686512,127.1133675
977,8,대덕마을,35.66092685,127.1124194
977,9,대덕마을,35.66092685,127.1124194
977,54,대덕마을,35.66124196,127.1122536
977,56,대덕마을,35.66124196,127.1122536
977,57,매산교,35.68157227,127.1032614
977,59,매산교,35.68157227,127.1032614
977,55,대덕경로당,35.6615761,127.10929
977,57,대덕경로당,35.6615761,127.10929
977,7,대덕경로당,35.66154768,127.1091025
977,8,대덕경로당,35.66154768,127.1091025
977,2,동부대로 농수산시장,35.8696339,127.1175725
977,60,송천동성원무지개아파트,35.86543274,127.1218195
977,61,송천동성원무지개아파트,35.86543274,127.1218195
977,4,송천동성원무지개아파트,35.86493158,127.1213847
977,4,송천동성원무지개아파트,35.86493158,127.1213847
977,59,전라고,35.86055764,127.1215621
977,60,전라고,35.86055764,127.1215621
977,5,전라고,35.86035841,127.1210833
977,5,전라고,35.86035841,127.1210833
977,58,송천1동주민센터,35.85701397,127.1207733
977,59,송천1동주민센터,35.85701397,127.1207733
977,6,송천삼거리 롯데마트,35.85538448,127.1198242
977,6,송천삼거리 롯데마트,35.85538448,127.1198242
977,57,도립여성중고 롯데마트,35.85361352,127.1197937
977,58,도립여성중고 롯데마트,35.85361352,127.1197937
977,7,송천 센트럴파크,35.85332881,127.1193766
977,7,송천 센트럴파크,35.85332881,127.1193766
977,56,도립국악원,35.84934543,127.1196889
977,57,도립국악원,35.84934543,127.1196889
977,8,도립국악원,35.84907486,127.1189103
977,8,도립국악원,35.84907486,127.1189103
977,9,기린대로덕진공원,35.84624591,127.1196944
977,9,기린대로덕진공원,35.84624591,127.1196944
977,55,기린대로덕진공원,35.84574561,127.1213678
977,56,기린대로덕진공원,35.84574561,127.1213678
977,10,전북대학교.한나여성병원앞,35.8428057,127.1247332
977,10,전북대학교.한나여성병원앞,35.8428057,127.1247332
977,54,전북대학교.소나무한의원앞,35.84140298,127.1270607
977,55,전북대학교.소나무한의원앞,35.84140298,127.1270607
977,53,전북일보사,35.8384609,127.1311667
977,54,전북일보사,35.8384609,127.1311667
977,11,국민은행금암지점,35.8379584,127.1314117
977,11,국민은행금암지점,35.8379584,127.1314117
977,52,금암1동주민센터,35.83678745,127.133639
977,53,금암1동주민센터,35.83678745,127.133639
977,12,금암광장.청담한방병원,35.83369489,127.1364274
977,14,금암광장.청담한방병원,35.83369489,127.1364274
977,51,금암광장,35.8330062,127.1373989
977,52,금암광장,35.8330062,127.1373989
977,50,청소년상담센터.원광신협,35.83141844,127.1387167
977,51,청소년상담센터.원광신협,35.83141844,127.1387167
977,13,한국은행.청소년상담센터,35.83032546,127.1391497
977,15,한국은행.청소년상담센터,35.83032546,127.1391497
977,49,중앙시장세이브존,35.82440898,127.1447894
977,50,중앙시장세이브존,35.82440898,127.1447894
977,14,중앙시장중앙성당방송대,35.82397975,127.1446291
977,16,중앙시장중앙성당방송대,35.82397975,127.1446291
977,62,동부대로 농수산시장,35.8699127,127.1184873
977,63,동부대로 농수산시장,35.8699127,127.1184873
977,63,메가월드,35.8699511,127.1124312
977,64,메가월드,35.8699511,127.1124312
977,64,송천동종점,35.8697397,127.109252
977,65,송천동종점,35.8697397,127.109252
977,1,송천동종점,35.8699041,127.1093354
977,1,송천동종점,35.8699041,127.1093354
977,61,송천역네거리,35.8674704,127.1216536
977,62,송천역네거리,35.8674704,127.1216536
977,3,송천역네거리,35.86878898,127.1212927
977,3,송천역네거리,35.86878898,127.1212927
977,32,문정초교,35.77512521,127.1280279
977,34,문정초교,35.77512521,127.1280279
977,30,문정초교,35.7751079,127.1281277
977,31,문정초교,35.7751079,127.1281277
977,15,북문,35.82067316,127.1459659
977,17,북문,35.82067316,127.1459659
977,48,CTS전북방송,35.8199967,127.1464071
977,49,CTS전북방송,35.8199967,127.1464071
977,16,팔달로 예술회관,35.81708281,127.1473015
977,18,팔달로 예술회관,35.81708281,127.1473015
977,47,팔달로 예술회관,35.81706612,127.1474898
977,48,팔달로 예술회관,35.81706612,127.1474898
977,46,전동성당.한옥마을,35.81462071,127.1483569
977,47,전동성당.한옥마을,35.81462071,127.1483569
977,17,전동성당.한옥마을,35.81459568,127.1481687
977,19,전동성당.한옥마을,35.81459568,127.1481687
977,18,남부시장,35.81273721,127.1488857
977,20,남부시장,35.81273721,127.1488857
977,45,남부시장,35.81132263,127.149731
977,46,남부시장,35.81132263,127.149731
977,20,공수내다리,35.80600343,127.1495221
977,22,공수내다리,35.80600343,127.1495221
977,43,공수내다리,35.80524638,127.1495302
977,44,공수내다리,35.80524638,127.1495302
977,42,서서학예그린아파트,35.80387901,127.1486265
977,43,서서학예그린아파트,35.80387901,127.1486265
977,21,서서학예그린아파트,35.80326509,127.1479831
977,23,서서학예그린아파트,35.80326509,127.1479831
977,22,서서학우정목련아파트,35.80135462,127.1462202
977,24,서서학우정목련아파트,35.80135462,127.1462202
977,41,서서학우정목련아파트,35.80104093,127.1463865
977,42,서서학우정목련아파트,35.80104093,127.1463865
977,23,장승백이,35.79971923,127.1435284
977,25,장승백이,35.79971923,127.1435284
977,40,장승백이,35.79936984,127.143604
977,41,장승백이,35.79936984,127.143604
977,24,평화주공1.2단지,35.79883454,127.1410879
977,26,평화주공1.2단지,35.79883454,127.1410879
977,39,평화주공1.2단지,35.798558,127.1414213
977,40,평화주공1.2단지,35.798558,127.1414213
977,38,완산여고,35.79770557,127.1390222
977,39,완산여고,35.79770557,127.1390222
977,25,완산여고,35.79746601,127.1373797
977,27,완산여고,35.79746601,127.1373797
977,26,꽃밭정이네거리,35.79650315,127.1346175
977,28,꽃밭정이네거리,35.79650315,127.1346175
977,37,꽃밭정이네거리,35.79654849,127.1355809
977,38,꽃밭정이네거리,35.79654849,127.1355809
977,27,평화코오롱아파트,35.7944849,127.1321802
977,29,평화코오롱아파트,35.7944849,127.1321802
977,36,평화코오롱아파트,35.79356814,127.132253
977,37,평화코오롱아파트,35.79356814,127.132253
977,35,주공4단지.꽃밭정이아파트,35.79175305,127.1317749
977,36,주공4단지.꽃밭정이아파트,35.79175305,127.1317749
977,28,주공4단지.꽃밭정이아파트,35.79083606,127.1312782
977,30,주공4단지.꽃밭정이아파트,35.79083606,127.1312782
977,29,평화삼성강남아파트,35.78842983,127.130503
977,31,평화삼성강남아파트,35.78842983,127.130503
977,34,평화삼성강남아파트,35.78844676,127.1307378
977,35,평화삼성강남아파트,35.78844676,127.1307378
977,33,평화동도미소드림아파트,35.78581599,127.1296382
977,34,평화동도미소드림아파트,35.78581599,127.1296382
977,32,평화그린1차아파트,35.78420517,127.1299876
977,33,평화그린1차아파트,35.78420517,127.1299876
977,30,평화골드클래스.그린1차아파트,35.78420796,127.1298915
977,32,평화골드클래스.그린1차아파트,35.78420796,127.1298915
977,31,전주교도소,35.7798398,127.1294535
977,33,전주교도소,35.7798398,127.1294535
977,31,전주교도소,35.77981483,127.129658
977,32,전주교도소,35.77981483,127.129658
977,34,소리실,35.77152701,127.1274292
977,36,소리실,35.77152701,127.1274292
977,28,소리실,35.77152806,127.127573
977,29,소리실,35.77152806,127.127573
977,29,평화신기마을,35.77317756,127.1276944
977,30,평화신기마을,35.77317756,127.1276944
977,33,평화신기마을,35.77279559,127.1273858
977,35,평화신기마을,35.77279559,127.1273858
977,35,금성마을,35.76466046,127.1256278
977,37,금성마을,35.76466046,127.1256278
977,27,금성마을,35.76465935,127.1258251
977,28,금성마을,35.76465935,127.1258251
977,26,원석구마을,35.76294285,127.1257924
977,27,원석구마을,35.76294285,127.1257924
977,36,원석구마을,35.76294167,127.125575
